file,section,line_start,line_end,sentence,type,is_performance_claim,has_conditions_attached,responsibility_owner,human_judgment_point_explicit,before_after_structure_present,novice_misunderstanding_risk,risk_reasons,rewrite_suggestion
part0/index.md,Part 0: 서론,1,1,# Part 0: 서론,Fact,No,No,Unclear,No,No,Low,,
part0/index.md,Part 0: 서론,3,3,이 파트에서는 생성형 AI 학습을 시작하기 전에 알아야 할 기본 사항을 다룹니다.,Fact,No,No,Unclear,No,No,Low,,
part0/index.md,Part 0: 서론,5,5,---,Fact,No,No,Unclear,No,No,Low,,
part0/index.md,📖 이 파트에서 배우는 것,7,7,## 📖 이 파트에서 배우는 것,Fact,No,No,Unclear,No,No,Low,,
part0/index.md,📖 이 파트에서 배우는 것,9,9,| 챕터 | 주제 | 핵심 질문 |,Fact,No,No,Unclear,No,No,Low,,
part0/index.md,📖 이 파트에서 배우는 것,10,10,|------|------|----------|,Fact,No,No,Unclear,No,No,Low,,
part0/index.md,📖 이 파트에서 배우는 것,11,11,| 0.1 | 이 책의 구성과 학습 로드맵 | 어떻게 이 책을 활용할 것인가? |,Fact,No,No,Unclear,No,No,Low,,
part0/index.md,📖 이 파트에서 배우는 것,12,12,| 0.2 | 왜 지금 배워야 하는가 | 생성형 AI가 왜 중요한가? |,Fact,No,No,Unclear,No,No,High,Responsibility blurred toward AI,| 0.2 | 왜 지금 배워야 하는가 | 생성형 AI가 왜 중요한가? | 결과의 최종 책임은 사용자/조직에 있다.
part0/index.md,📖 이 파트에서 배우는 것,14,14,---,Fact,No,No,Unclear,No,No,Low,,
part0/index.md,🎯 학습 목표,16,16,## 🎯 학습 목표,Fact,No,No,Unclear,No,No,Low,,
part0/index.md,🎯 학습 목표,18,18,이 파트를 마치면 다음을 할 수 있습니다:,Fact,No,No,Unclear,No,No,Low,,
part0/index.md,🎯 학습 목표,20,20,- [x] 책의 전체 구조와 학습 순서를 이해한다,Fact,No,No,Unclear,No,No,Low,,
part0/index.md,🎯 학습 목표,21,21,- [x] 자신의 수준에 맞는 학습 경로를 선택한다,Fact,No,No,Unclear,No,No,Low,,
part0/index.md,🎯 학습 목표,22,22,- [x] 생성형 AI 학습의 필요성과 시급성을 인식한다,Fact,No,No,Unclear,No,No,Low,,
part0/index.md,🎯 학습 목표,23,23,- [x] 현재 AI 활용 현황과 숙련도 격차를 파악한다,Fact,No,No,Unclear,No,No,Low,,
part0/index.md,🎯 학습 목표,25,25,---,Fact,No,No,Unclear,No,No,Low,,
part0/index.md,📑 챕터 목록,27,27,## 📑 챕터 목록,Fact,No,No,Unclear,No,No,Low,,
part0/index.md,📑 챕터 목록,29,29,"<div class=""grid cards"" markdown>",Fact,No,No,Unclear,No,No,Low,,
part0/index.md,📑 챕터 목록,31,31,-   :material-book-open-variant:{ .lg .middle } **0.1 이 책의 구성과 학습 로드맵**,Fact,No,No,Unclear,No,No,Low,,
part0/index.md,📑 챕터 목록,33,33,---,Fact,No,No,Unclear,No,No,Low,,
part0/index.md,📑 챕터 목록,35,35,"책의 구조, 각 파트의 역할, 독자 유형별 추천 학습 경로",Guidance,No,No,Unclear,No,No,Low,,
part0/index.md,📑 챕터 목록,37,37,[:octicons-arrow-right-24: 읽기](ch00-how-to-use.md),Guidance,No,No,Unclear,No,No,Low,,
part0/index.md,📑 챕터 목록,39,39,-   :material-chart-timeline-variant:{ .lg .middle } **0.2 왜 지금 배워야 하는가**,Fact,No,No,Unclear,No,No,Low,,
part0/index.md,📑 챕터 목록,41,41,---,Fact,No,No,Unclear,No,No,Low,,
part0/index.md,📑 챕터 목록,43,43,"생성형 AI 시대의 도래, 활용 현황, 숙련도 격차 분석",Fact,No,No,Unclear,No,No,Low,,
part0/index.md,📑 챕터 목록,45,45,[:octicons-arrow-right-24: 읽기](ch00-why-now.md),Fact,No,No,Unclear,No,No,Low,,
part0/index.md,📑 챕터 목록,47,47,</div>,Fact,No,No,Unclear,No,No,Low,,
part0/ch00-why-now.md,0.2 왜 지금 배워야 하는가,1,1,# 0.2 왜 지금 배워야 하는가,Fact,No,No,Unclear,No,Yes,Low,,
part0/ch00-why-now.md,0.2 왜 지금 배워야 하는가,3,3,"!!! abstract ""학습 목표""",Fact,No,No,Unclear,No,Yes,Low,,
part0/ch00-why-now.md,0.2 왜 지금 배워야 하는가,4,4,- 생성형 AI의 현재 보급 현황과 활용 실태를 파악한다,Fact,No,No,Unclear,No,Yes,Low,,
part0/ch00-why-now.md,0.2 왜 지금 배워야 하는가,5,5,- '숙련도 격차(Proficiency Gap)'의 개념과 원인을 이해한다,Fact,No,No,Unclear,No,Yes,Low,,
part0/ch00-why-now.md,0.2 왜 지금 배워야 하는가,6,6,- AI 리터러시가 필수 역량이 된 배경을 설명할 수 있다,Fact,No,No,Unclear,No,Yes,Low,,
